,yaw,pitch,roll
0,-2.24,-5.88,-0.52
1,-2.24,-5.88,-0.52
2,-2.24,-5.88,-0.52
3,-2.24,-5.88,-0.52
4,-2.24,-5.88,-0.52
5,-2.24,-5.88,-0.52
6,-2.23,-5.88,-0.52
7,-2.23,-5.88,-0.53
8,-2.24,-5.88,-0.52
9,-2.24,-5.88,-0.52
10,-2.24,-5.88,-0.52
11,-2.24,-5.88,-0.52
12,-2.24,-5.88,-0.52
13,-2.24,-5.88,-0.52
14,-2.24,-5.88,-0.52
15,-2.24,-5.88,-0.52
16,-2.24,-5.88,-0.52
17,-2.24,-5.88,-0.52
18,-2.24,-5.88,-0.52
19,-2.24,-5.88,-0.52
20,-2.24,-5.88,-0.52
21,-2.25,-5.89,-0.52
22,-2.25,-5.88,-0.52
23,-2.25,-5.88,-0.52
24,-2.25,-5.88,-0.52
25,-2.25,-5.88,-0.52
26,-2.25,-5.88,-0.52
27,-2.25,-5.88,-0.52
28,-2.25,-5.88,-0.52
29,-2.26,-5.88,-0.51
30,-2.25,-5.88,-0.51
31,-2.25,-5.88,-0.52
32,-2.26,-5.88,-0.52
33,-2.25,-5.88,-0.52
34,-2.25,-5.88,-0.52
35,-2.25,-5.88,-0.52
36,-2.25,-5.88,-0.52
37,-2.26,-5.88,-0.51
38,-2.25,-5.89,-0.51
39,-2.25,-5.89,-0.51
40,-2.25,-5.89,-0.51
41,-2.25,-5.89,-0.51
42,-2.25,-5.89,-0.51
43,-2.25,-5.89,-0.51
44,-2.25,-5.89,-0.52
45,-2.26,-5.89,-0.52
46,-2.25,-5.89,-0.52
47,-2.26,-5.89,-0.51
48,-2.25,-5.89,-0.51
49,-2.26,-5.89,-0.51
50,-2.26,-5.89,-0.51
51,-2.26,-5.89,-0.51
52,-2.26,-5.89,-0.51
53,-2.26,-5.89,-0.51
54,-2.26,-5.89,-0.52
55,-2.26,-5.89,-0.52
56,-2.25,-5.89,-0.52
57,-2.25,-5.89,-0.51
58,-2.25,-5.89,-0.51
59,-2.26,-5.89,-0.51
60,-2.26,-5.89,-0.51
61,-2.26,-5.89,-0.51
62,-2.26,-5.89,-0.51
63,-2.26,-5.89,-0.51
64,-2.26,-5.89,-0.51
65,-2.25,-5.89,-0.51
66,-2.26,-5.89,-0.51
67,-2.25,-5.89,-0.51
68,-2.25,-5.89,-0.51
69,-2.25,-5.89,-0.51
70,-2.25,-5.89,-0.51
71,-2.25,-5.89,-0.51
72,-2.25,-5.89,-0.51
73,-2.25,-5.89,-0.51
74,-2.26,-5.89,-0.51
75,-2.26,-5.89,-0.51
76,-2.25,-5.89,-0.51
77,-2.25,-5.89,-0.51
78,-2.25,-5.89,-0.51
79,-2.25,-5.89,-0.51
80,-2.25,-5.89,-0.51
81,-2.25,-5.89,-0.51
82,-2.26,-5.89,-0.51
83,-2.25,-5.89,-0.51
84,-2.26,-5.89,-0.51
85,-2.26,-5.89,-0.51
86,-2.26,-5.89,-0.51
87,-2.26,-5.89,-0.51
88,-2.25,-5.89,-0.51
89,-2.25,-5.89,-0.51
90,-2.26,-5.89,-0.51
91,-2.25,-5.89,-0.52
92,-2.25,-5.89,-0.51
93,-2.25,-5.89,-0.51
94,-2.25,-5.89,-0.52
95,-2.25,-5.89,-0.51
96,-2.25,-5.89,-0.51
97,-2.26,-5.89,-0.51
98,-2.26,-5.89,-0.51
99,-2.25,-5.89,-0.51
100,-2.26,-5.89,-0.51
101,-2.25,-5.89,-0.51
102,-2.25,-5.89,-0.51
103,-2.25,-5.89,-0.51
104,-2.25,-5.89,-0.51
105,-2.25,-5.89,-0.51
106,-2.26,-5.89,-0.51
107,-2.25,-5.89,-0.51
108,-2.26,-5.89,-0.51
109,-2.25,-5.89,-0.51
110,-2.25,-5.89,-0.51
111,-2.25,-5.89,-0.51
112,-2.25,-5.89,-0.51
113,-2.25,-5.89,-0.51
114,-2.25,-5.89,-0.51
115,-2.25,-5.89,-0.51
116,-2.25,-5.89,-0.51
117,-2.26,-5.89,-0.51
118,-2.26,-5.89,-0.51
119,-2.26,-5.86,-0.49
120,-2.23,-5.8,-0.49
121,-2.18,-5.74,-0.52
122,-2.09,-5.68,-0.64
123,-2.05,-5.66,-0.65
124,-2.06,-5.74,-0.55
125,-2.17,-5.67,-0.52
126,-2.17,-5.73,-0.62
127,-2.17,-5.82,-0.62
128,-2.34,-5.91,-0.51
129,-2.3,-5.91,-0.55
130,-2.26,-5.94,-0.59
131,-2.38,-5.88,-0.49
132,-2.36,-5.82,-0.52
133,-2.35,-5.82,-0.57
134,-2.39,-5.77,-0.51
135,-2.28,-5.65,-0.57
136,-2.27,-5.65,-0.52
137,-2.28,-5.55,-0.52
138,-2.29,-5.56,-0.5
139,-2.3,-5.5,-0.39
140,-2.35,-5.5,-0.44
141,-2.4,-5.52,-0.37
142,-2.4,-5.46,-0.33
143,-2.38,-5.44,-0.37
144,-2.42,-5.37,-0.28
145,-2.41,-5.38,-0.21
146,-2.38,-5.35,-0.33
147,-2.36,-5.34,-0.39
148,-2.34,-5.38,-0.33
149,-2.33,-5.36,-0.32
150,-2.33,-5.33,-0.35
151,-2.35,-5.3,-0.37
152,-2.4,-5.28,-0.36
153,-2.41,-5.3,-0.35
154,-2.39,-5.33,-0.36
155,-2.38,-5.36,-0.36
156,-2.38,-5.38,-0.4
157,-2.36,-5.35,-0.42
158,-2.33,-5.36,-0.45
159,-2.35,-5.37,-0.45
160,-2.31,-5.43,-0.43
161,-2.25,-5.49,-0.43
162,-2.23,-5.55,-0.4
163,-2.23,-5.64,-0.3
164,-2.25,-5.64,-0.25
165,-2.31,-5.69,-0.23
166,-2.39,-5.63,-0.25
167,-2.35,-5.68,-0.2
168,-2.31,-5.65,-0.25
169,-2.28,-5.58,-0.22
170,-2.25,-5.58,-0.27
171,-2.17,-5.57,-0.38
172,-2.18,-5.51,-0.32
173,-2.2,-5.58,-0.3
174,-2.2,-5.53,-0.39
175,-2.18,-5.58,-0.38
176,-2.21,-5.66,-0.35
177,-2.23,-5.72,-0.28
178,-2.2,-5.75,-0.32
179,-2.25,-5.79,-0.31
180,-2.22,-5.8,-0.25
181,-2.23,-5.82,-0.24
182,-2.25,-5.71,-0.32
183,-2.29,-5.79,-0.29
184,-2.29,-5.74,-0.25
185,-2.2,-5.7,-0.28
186,-2.23,-5.72,-0.29
187,-2.24,-5.66,-0.33
188,-2.22,-5.68,-0.34
189,-2.27,-5.69,-0.28
190,-2.3,-5.67,-0.33
191,-2.34,-5.75,-0.29
192,-2.34,-5.81,-0.19
193,-2.34,-5.76,-0.27
194,-2.32,-5.76,-0.37
195,-2.31,-5.81,-0.29
196,-2.29,-5.78,-0.24
197,-2.33,-5.69,-0.26
198,-2.21,-5.69,-0.33
199,-2.16,-5.74,-0.36
200,-2.22,-5.76,-0.27
201,-2.19,-5.77,-0.22
202,-2.25,-5.72,-0.25
203,-2.26,-5.73,-0.3
204,-2.19,-5.75,-0.37
205,-2.3,-5.77,-0.38
206,-2.4,-5.79,-0.3
207,-2.4,-5.8,-0.24
208,-2.46,-5.78,-0.23
209,-2.4,-5.76,-0.23
210,-2.3,-5.74,-0.24
211,-2.28,-5.72,-0.25
212,-2.24,-5.73,-0.35
213,-2.24,-5.73,-0.35
214,-2.27,-5.73,-0.37
215,-2.32,-5.76,-0.3
216,-2.38,-5.78,-0.24
217,-2.46,-5.78,-0.2
218,-2.5,-5.78,-0.19
219,-2.49,-5.77,-0.18
220,-2.47,-5.76,-0.19
