,tof1,tof2,tof3,tof4
0,2760,0,0,0
1,2760,0,0,0
2,2758,0,0,0
3,2758,0,0,0
4,2767,0,0,0
5,2767,0,0,0
6,2767,0,0,0
7,2761,0,0,0
8,2761,0,0,0
9,2752,0,0,0
10,2752,0,0,0
11,2747,0,0,0
12,2747,0,0,0
13,2747,0,0,0
14,2754,0,0,0
15,2754,0,0,0
16,2736,0,0,0
17,2736,0,0,0
18,2741,0,0,0
19,2741,0,0,0
20,2741,0,0,0
21,2741,0,0,0
22,2741,0,0,0
23,2746,0,0,0
24,2746,0,0,0
25,2733,0,0,0
26,2733,0,0,0
27,2735,0,0,0
28,2735,0,0,0
29,2741,0,0,0
30,2741,0,0,0
31,2741,0,0,0
32,2735,0,0,0
33,2735,0,0,0
34,2732,0,0,0
35,2732,0,0,0
36,2731,0,0,0
37,2731,0,0,0
38,2731,0,0,0
39,2733,0,0,0
40,2733,0,0,0
41,2731,0,0,0
42,2731,0,0,0
43,2731,0,0,0
44,2731,0,0,0
45,2731,0,0,0
46,2707,0,0,0
47,2707,0,0,0
48,2707,0,0,0
49,2733,0,0,0
50,2733,0,0,0
51,2723,0,0,0
52,2723,0,0,0
53,2723,0,0,0
54,2709,0,0,0
55,2709,0,0,0
56,2727,0,0,0
57,2727,0,0,0
58,2727,0,0,0
59,2715,0,0,0
60,2715,0,0,0
61,2716,0,0,0
62,2716,0,0,0
63,2709,0,0,0
64,2709,0,0,0
65,2709,0,0,0
66,2711,0,0,0
67,2711,0,0,0
68,2718,0,0,0
69,2718,0,0,0
70,2718,0,0,0
71,2718,0,0,0
72,2718,0,0,0
73,2731,0,0,0
74,2731,0,0,0
75,2731,0,0,0
76,2688,0,0,0
77,2688,0,0,0
78,2639,0,0,0
79,2639,0,0,0
80,2639,0,0,0
81,2604,0,0,0
82,2604,0,0,0
83,2550,0,0,0
84,2550,0,0,0
85,2550,0,0,0
86,2528,0,0,0
87,2528,0,0,0
88,2504,0,0,0
89,2504,0,0,0
90,2472,0,0,0
91,2472,0,0,0
92,2472,0,0,0
93,2389,0,0,0
94,2389,0,0,0
95,2332,0,0,0
96,2332,0,0,0
97,2332,0,0,0
98,2308,0,0,0
99,2308,0,0,0
100,2285,0,0,0
101,2285,0,0,0
102,2285,0,0,0
103,2217,0,0,0
104,2217,0,0,0
105,2178,0,0,0
106,2178,0,0,0
107,2178,0,0,0
108,2116,0,0,0
109,2116,0,0,0
110,2070,0,0,0
111,2070,0,0,0
112,2031,0,0,0
113,2031,0,0,0
114,2031,0,0,0
115,1984,0,0,0
116,1984,0,0,0
117,1941,0,0,0
118,1941,0,0,0
119,1941,0,0,0
120,1881,0,0,0
121,1881,0,0,0
122,1815,0,0,0
123,1815,0,0,0
124,1815,0,0,0
125,1763,0,0,0
126,1763,0,0,0
127,1721,0,0,0
128,1721,0,0,0
129,1721,0,0,0
130,1678,0,0,0
131,1678,0,0,0
132,1615,0,0,0
133,1615,0,0,0
134,1615,0,0,0
135,1500,0,0,0
136,1500,0,0,0
137,1500,0,0,0
138,1462,0,0,0
139,1462,0,0,0
140,1418,0,0,0
141,1418,0,0,0
142,1418,0,0,0
143,1372,0,0,0
144,1372,0,0,0
145,1303,0,0,0
146,1303,0,0,0
147,1303,0,0,0
148,1254,0,0,0
149,1254,0,0,0
150,1209,0,0,0
151,1209,0,0,0
152,1168,0,0,0
153,1168,0,0,0
154,1168,0,0,0
155,1118,0,0,0
156,1118,0,0,0
157,1062,0,0,0
158,1062,0,0,0
159,1062,0,0,0
160,1015,0,0,0
161,1015,0,0,0
162,975,0,0,0
163,975,0,0,0
164,975,0,0,0
165,928,0,0,0
166,928,0,0,0
167,886,0,0,0
168,886,0,0,0
169,886,0,0,0
170,840,0,0,0
171,840,0,0,0
172,800,0,0,0
173,800,0,0,0
174,800,0,0,0
175,757,0,0,0
176,757,0,0,0
177,720,0,0,0
178,720,0,0,0
179,720,0,0,0
180,685,0,0,0
181,685,0,0,0
182,649,0,0,0
183,649,0,0,0
184,608,0,0,0
185,608,0,0,0
186,608,0,0,0
187,573,0,0,0
188,573,0,0,0
189,542,0,0,0
190,542,0,0,0
191,513,0,0,0
192,513,0,0,0
193,513,0,0,0
194,484,0,0,0
195,484,0,0,0
196,452,0,0,0
197,452,0,0,0
198,452,0,0,0
199,444,0,0,0
200,444,0,0,0
201,404,0,0,0
202,404,0,0,0
203,404,0,0,0
204,382,0,0,0
205,382,0,0,0
206,363,0,0,0
207,363,0,0,0
208,363,0,0,0
209,346,0,0,0
210,346,0,0,0
211,331,0,0,0
212,331,0,0,0
213,331,0,0,0
214,313,0,0,0
215,313,0,0,0
216,303,0,0,0
217,303,0,0,0
218,295,0,0,0
219,295,0,0,0
220,295,0,0,0
221,288,0,0,0
222,288,0,0,0
223,277,0,0,0
224,277,0,0,0
225,277,0,0,0
226,269,0,0,0
227,269,0,0,0
228,262,0,0,0
229,262,0,0,0
230,282,0,0,0
231,282,0,0,0
232,282,0,0,0
233,272,0,0,0
234,272,0,0,0
235,272,0,0,0
236,264,0,0,0
237,264,0,0,0
238,258,0,0,0
239,258,0,0,0
240,258,0,0,0
241,251,0,0,0
242,251,0,0,0
243,245,0,0,0
244,245,0,0,0
245,240,0,0,0
246,240,0,0,0
247,240,0,0,0
248,234,0,0,0
249,234,0,0,0
250,231,0,0,0
251,231,0,0,0
252,231,0,0,0
253,228,0,0,0
254,228,0,0,0
255,224,0,0,0
256,224,0,0,0
257,224,0,0,0
258,222,0,0,0
259,222,0,0,0
260,220,0,0,0
261,220,0,0,0
262,220,0,0,0
263,216,0,0,0
264,216,0,0,0
265,224,0,0,0
266,224,0,0,0
267,212,0,0,0
268,212,0,0,0
269,212,0,0,0
270,212,0,0,0
271,212,0,0,0
272,221,0,0,0
273,221,0,0,0
274,221,0,0,0
275,220,0,0,0
276,220,0,0,0
277,220,0,0,0
278,220,0,0,0
279,220,0,0,0
280,223,0,0,0
281,223,0,0,0
282,225,0,0,0
283,225,0,0,0
284,225,0,0,0
285,231,0,0,0
286,231,0,0,0
287,234,0,0,0
288,234,0,0,0
289,236,0,0,0
290,236,0,0,0
291,236,0,0,0
292,235,0,0,0
293,235,0,0,0
294,235,0,0,0
295,235,0,0,0
296,235,0,0,0
297,236,0,0,0
298,236,0,0,0
299,228,0,0,0
300,228,0,0,0
301,228,0,0,0
302,240,0,0,0
303,240,0,0,0
304,240,0,0,0
305,240,0,0,0
306,240,0,0,0
307,240,0,0,0
308,240,0,0,0
309,240,0,0,0
310,240,0,0,0
311,240,0,0,0
312,239,0,0,0
313,239,0,0,0
314,241,0,0,0
315,241,0,0,0
316,241,0,0,0
317,241,0,0,0
318,241,0,0,0
319,241,0,0,0
320,241,0,0,0
321,241,0,0,0
322,240,0,0,0
323,240,0,0,0
324,239,0,0,0
325,239,0,0,0
326,239,0,0,0
327,241,0,0,0
328,241,0,0,0
329,243,0,0,0
330,243,0,0,0
331,242,0,0,0
332,242,0,0,0
333,242,0,0,0
334,240,0,0,0
335,240,0,0,0
336,240,0,0,0
337,247,0,0,0
338,247,0,0,0
339,267,0,0,0
340,267,0,0,0
341,267,0,0,0
342,2014,0,0,0
343,2014,0,0,0
344,2452,0,0,0
345,2452,0,0,0
346,2452,0,0,0
347,2507,0,0,0
348,2507,0,0,0
349,2508,0,0,0
350,2508,0,0,0
351,2508,0,0,0
352,2515,0,0,0
353,2515,0,0,0
354,2515,0,0,0
355,2515,0,0,0
356,2512,0,0,0
357,2512,0,0,0
358,2508,0,0,0
359,2508,0,0,0
360,2508,0,0,0
361,2522,0,0,0
362,2522,0,0,0
363,2522,0,0,0
364,2522,0,0,0
365,2522,0,0,0
366,2514,0,0,0
367,2514,0,0,0
368,2519,0,0,0
369,2519,0,0,0
370,2519,0,0,0
371,2512,0,0,0
372,2512,0,0,0
373,2512,0,0,0
374,2512,0,0,0
375,2507,0,0,0
376,2507,0,0,0
377,2507,0,0,0
378,2510,0,0,0
379,2510,0,0,0
380,2519,0,0,0
381,2519,0,0,0
382,2519,0,0,0
383,2510,0,0,0
384,2510,0,0,0
385,2515,0,0,0
386,2515,0,0,0
387,2515,0,0,0
388,2521,0,0,0
389,2521,0,0,0
390,2509,0,0,0
391,2509,0,0,0
392,2509,0,0,0
393,2511,0,0,0
394,2511,0,0,0
395,2512,0,0,0
396,2512,0,0,0
397,2512,0,0,0
398,2507,0,0,0
399,2507,0,0,0
400,2494,0,0,0
401,2494,0,0,0
402,2494,0,0,0
403,2502,0,0,0
404,2502,0,0,0
405,2509,0,0,0
406,2509,0,0,0
407,2509,0,0,0
408,2493,0,0,0
409,2493,0,0,0
410,2499,0,0,0
411,2499,0,0,0
412,2499,0,0,0
413,2501,0,0,0
414,2501,0,0,0
415,2493,0,0,0
416,2493,0,0,0
417,2493,0,0,0
418,2492,0,0,0
419,2492,0,0,0
420,2488,0,0,0
421,2488,0,0,0
422,2491,0,0,0
423,2491,0,0,0
424,2491,0,0,0
425,2492,0,0,0
426,2492,0,0,0
427,2492,0,0,0
428,2492,0,0,0
429,2492,0,0,0
430,2482,0,0,0
431,2482,0,0,0
432,2485,0,0,0
433,2485,0,0,0
434,2485,0,0,0
435,2474,0,0,0
436,2474,0,0,0
437,2474,0,0,0
438,2474,0,0,0
439,2474,0,0,0
440,2476,0,0,0
441,2476,0,0,0
442,2476,0,0,0
443,2475,0,0,0
444,2475,0,0,0
445,2474,0,0,0
446,2474,0,0,0
447,2482,0,0,0
448,2482,0,0,0
449,2482,0,0,0
450,2472,0,0,0
451,2472,0,0,0
452,2478,0,0,0
453,2478,0,0,0
454,2478,0,0,0
455,2486,0,0,0
456,2486,0,0,0
457,2482,0,0,0
458,2482,0,0,0
459,2482,0,0,0
460,2479,0,0,0
461,2479,0,0,0
462,2496,0,0,0
463,2496,0,0,0
464,2492,0,0,0
465,2492,0,0,0
466,2492,0,0,0
467,2483,0,0,0
468,2483,0,0,0
469,2466,0,0,0
470,2466,0,0,0
471,2466,0,0,0
472,2466,0,0,0
473,2466,0,0,0
474,2496,0,0,0
475,2496,0,0,0
476,2496,0,0,0
477,2500,0,0,0
478,2500,0,0,0
479,2509,0,0,0
480,2509,0,0,0
481,2509,0,0,0
482,2563,0,0,0
483,2563,0,0,0
484,2556,0,0,0
485,2556,0,0,0
486,2590,0,0,0
487,2590,0,0,0
488,2590,0,0,0
489,2588,0,0,0
490,2588,0,0,0
491,2623,0,0,0
492,2623,0,0,0
493,2623,0,0,0
494,2641,0,0,0
495,2641,0,0,0
496,2682,0,0,0
497,2682,0,0,0
498,2682,0,0,0
499,2691,0,0,0
500,2691,0,0,0
501,2700,0,0,0
502,2700,0,0,0
503,2726,0,0,0
504,2726,0,0,0
505,2726,0,0,0
506,2754,0,0,0
507,2754,0,0,0
508,2777,0,0,0
509,2777,0,0,0
510,2777,0,0,0
511,2803,0,0,0
512,2803,0,0,0
513,2819,0,0,0
514,2819,0,0,0
515,2819,0,0,0
516,2842,0,0,0
517,2842,0,0,0
518,2842,0,0,0
519,2842,0,0,0
520,2899,0,0,0
521,2899,0,0,0
522,2899,0,0,0
523,2903,0,0,0
524,2903,0,0,0
525,2935,0,0,0
526,2935,0,0,0
527,2952,0,0,0
528,2952,0,0,0
529,2952,0,0,0
530,2977,0,0,0
531,2977,0,0,0
532,3019,0,0,0
533,3019,0,0,0
534,3019,0,0,0
535,3016,0,0,0
536,3016,0,0,0
537,3045,0,0,0
538,3045,0,0,0
539,3045,0,0,0
540,3066,0,0,0
541,3066,0,0,0
542,3103,0,0,0
543,3103,0,0,0
544,3103,0,0,0
545,3123,0,0,0
546,3123,0,0,0
547,3144,0,0,0
548,3144,0,0,0
549,3144,0,0,0
550,3172,0,0,0
551,3172,0,0,0
552,3186,0,0,0
553,3186,0,0,0
554,3225,0,0,0
555,3225,0,0,0
556,3225,0,0,0
557,3221,0,0,0
558,3221,0,0,0
559,3271,0,0,0
560,3271,0,0,0
561,3293,0,0,0
562,3293,0,0,0
563,3293,0,0,0
564,3318,0,0,0
565,3318,0,0,0
566,3318,0,0,0
567,3352,0,0,0
568,3352,0,0,0
569,3378,0,0,0
570,3378,0,0,0
571,3371,0,0,0
572,3371,0,0,0
573,3371,0,0,0
574,3411,0,0,0
575,3411,0,0,0
576,3444,0,0,0
577,3444,0,0,0
578,3444,0,0,0
579,3464,0,0,0
580,3464,0,0,0
581,3472,0,0,0
582,3472,0,0,0
583,3472,0,0,0
584,3529,0,0,0
585,3529,0,0,0
586,3539,0,0,0
587,3539,0,0,0
588,3539,0,0,0
589,3574,0,0,0
590,3574,0,0,0
591,3596,0,0,0
592,3596,0,0,0
593,3596,0,0,0
594,3604,0,0,0
595,3604,0,0,0
596,3599,0,0,0
597,3599,0,0,0
598,3599,0,0,0
599,3640,0,0,0
600,3640,0,0,0
601,3640,0,0,0
602,3640,0,0,0
603,3640,0,0,0
604,3642,0,0,0
605,3642,0,0,0
606,3670,0,0,0
607,3670,0,0,0
608,3670,0,0,0
609,3656,0,0,0
610,3656,0,0,0
611,3672,0,0,0
612,3672,0,0,0
613,3672,0,0,0
614,3654,0,0,0
615,3654,0,0,0
616,3677,0,0,0
617,3677,0,0,0
618,3677,0,0,0
619,3684,0,0,0
620,3684,0,0,0
621,3667,0,0,0
622,3667,0,0,0
623,3667,0,0,0
624,3676,0,0,0
625,3676,0,0,0
626,3680,0,0,0
627,3680,0,0,0
628,3680,0,0,0
629,3676,0,0,0
630,3676,0,0,0
631,3664,0,0,0
632,3664,0,0,0
633,3664,0,0,0
634,3652,0,0,0
635,3652,0,0,0
636,3658,0,0,0
637,3658,0,0,0
638,3658,0,0,0
639,3683,0,0,0
640,3683,0,0,0
641,3672,0,0,0
642,3672,0,0,0
643,3672,0,0,0
644,3665,0,0,0
645,3665,0,0,0
646,3672,0,0,0
647,3672,0,0,0
648,3672,0,0,0
649,3677,0,0,0
650,3677,0,0,0
651,3683,0,0,0
652,3683,0,0,0
653,3683,0,0,0
654,3664,0,0,0
655,3664,0,0,0
656,3664,0,0,0
657,3664,0,0,0
658,3664,0,0,0
659,3685,0,0,0
660,3685,0,0,0
661,3659,0,0,0
662,3659,0,0,0
663,3659,0,0,0
664,3659,0,0,0
665,3659,0,0,0
666,3662,0,0,0
667,3662,0,0,0
668,3662,0,0,0
669,3643,0,0,0
670,3643,0,0,0
671,3655,0,0,0
672,3655,0,0,0
673,3655,0,0,0
674,3659,0,0,0
675,3659,0,0,0
676,3654,0,0,0
677,3654,0,0,0
678,3667,0,0,0
679,3667,0,0,0
680,3667,0,0,0
681,3648,0,0,0
682,3648,0,0,0
683,3655,0,0,0
684,3655,0,0,0
685,3655,0,0,0
686,3641,0,0,0
687,3641,0,0,0
688,3656,0,0,0
689,3656,0,0,0
690,3656,0,0,0
691,3618,0,0,0
692,3618,0,0,0
693,3618,0,0,0
694,3655,0,0,0
695,3655,0,0,0
696,3651,0,0,0
697,3651,0,0,0
698,3640,0,0,0
699,3640,0,0,0
700,3640,0,0,0
701,3633,0,0,0
702,3633,0,0,0
703,3641,0,0,0
704,3641,0,0,0
705,3641,0,0,0
706,3620,0,0,0
707,3620,0,0,0
708,3631,0,0,0
709,3631,0,0,0
710,3631,0,0,0
711,3637,0,0,0
712,3637,0,0,0
713,3628,0,0,0
714,3628,0,0,0
715,3628,0,0,0
716,3632,0,0,0
717,3632,0,0,0
718,3632,0,0,0
719,3605,0,0,0
720,3605,0,0,0
721,3624,0,0,0
722,3624,0,0,0
723,3626,0,0,0
724,3626,0,0,0
725,3626,0,0,0
726,3591,0,0,0
727,3591,0,0,0
728,3591,0,0,0
729,3589,0,0,0
730,3589,0,0,0
731,3543,0,0,0
732,3543,0,0,0
733,3476,0,0,0
734,3476,0,0,0
735,3476,0,0,0
736,3379,0,0,0
737,3379,0,0,0
738,3217,0,0,0
739,3217,0,0,0
740,3217,0,0,0
741,3072,0,0,0
742,3072,0,0,0
743,2943,0,0,0
744,2943,0,0,0
745,2943,0,0,0
746,2845,0,0,0
747,2845,0,0,0
748,2714,0,0,0
749,2714,0,0,0
750,2714,0,0,0
751,2597,0,0,0
752,2597,0,0,0
753,2526,0,0,0
754,2526,0,0,0
755,2526,0,0,0
756,2480,0,0,0
757,2480,0,0,0
758,2430,0,0,0
759,2430,0,0,0
760,2442,0,0,0
761,2442,0,0,0
762,2442,0,0,0
763,2423,0,0,0
764,2423,0,0,0
765,2413,0,0,0
766,2413,0,0,0
767,2413,0,0,0
768,2420,0,0,0
769,2420,0,0,0
770,2419,0,0,0
771,2419,0,0,0
772,2419,0,0,0
773,2432,0,0,0
774,2432,0,0,0
775,2457,0,0,0
776,2457,0,0,0
777,2466,0,0,0
778,2466,0,0,0
779,2466,0,0,0
780,2479,0,0,0
781,2479,0,0,0
782,2504,0,0,0
783,2504,0,0,0
784,2504,0,0,0
785,2494,0,0,0
786,2494,0,0,0
787,2508,0,0,0
788,2508,0,0,0
789,2508,0,0,0
790,2518,0,0,0
791,2518,0,0,0
792,2569,0,0,0
793,2569,0,0,0
794,2569,0,0,0
795,2562,0,0,0
796,2562,0,0,0
797,2569,0,0,0
798,2569,0,0,0
799,2569,0,0,0
800,2569,0,0,0
801,2569,0,0,0
802,2590,0,0,0
803,2590,0,0,0
804,2591,0,0,0
805,2591,0,0,0
806,2591,0,0,0
807,2588,0,0,0
808,2588,0,0,0
809,2591,0,0,0
810,2591,0,0,0
811,2591,0,0,0
812,2598,0,0,0
813,2598,0,0,0
814,2617,0,0,0
815,2617,0,0,0
816,2617,0,0,0
817,2611,0,0,0
818,2611,0,0,0
819,2616,0,0,0
820,2616,0,0,0
821,2616,0,0,0
822,2618,0,0,0
823,2618,0,0,0
824,2630,0,0,0
825,2630,0,0,0
826,2630,0,0,0
827,2637,0,0,0
828,2637,0,0,0
829,2637,0,0,0
830,2637,0,0,0
831,2635,0,0,0
832,2635,0,0,0
833,2635,0,0,0
834,2636,0,0,0
835,2636,0,0,0
836,2647,0,0,0
837,2647,0,0,0
838,2647,0,0,0
839,2650,0,0,0
840,2650,0,0,0
841,2652,0,0,0
842,2652,0,0,0
843,2656,0,0,0
844,2656,0,0,0
845,2656,0,0,0
846,2661,0,0,0
847,2661,0,0,0
848,2659,0,0,0
849,2659,0,0,0
850,2686,0,0,0
851,2686,0,0,0
852,2686,0,0,0
853,2684,0,0,0
854,2684,0,0,0
855,2638,0,0,0
856,2638,0,0,0
857,2638,0,0,0
858,2612,0,0,0
859,2612,0,0,0
860,2612,0,0,0
861,2552,0,0,0
862,2552,0,0,0
863,2500,0,0,0
864,2500,0,0,0
865,2500,0,0,0
866,2469,0,0,0
867,2469,0,0,0
868,2447,0,0,0
869,2447,0,0,0
870,2447,0,0,0
871,2414,0,0,0
872,2414,0,0,0
873,2348,0,0,0
874,2348,0,0,0
875,2348,0,0,0
876,2295,0,0,0
877,2295,0,0,0
878,2267,0,0,0
879,2267,0,0,0
880,2267,0,0,0
881,2202,0,0,0
882,2202,0,0,0
883,2167,0,0,0
884,2167,0,0,0
885,2167,0,0,0
886,2126,0,0,0
887,2126,0,0,0
888,2039,0,0,0
889,2039,0,0,0
890,2039,0,0,0
891,1985,0,0,0
892,1985,0,0,0
893,1950,0,0,0
894,1912,0,0,0
895,1912,0,0,0
896,1912,0,0,0
897,1847,0,0,0
898,1847,0,0,0
899,1780,0,0,0
900,1780,0,0,0
901,1780,0,0,0
902,1710,0,0,0
903,1710,0,0,0
904,1664,0,0,0
905,1664,0,0,0
906,1664,0,0,0
907,1628,0,0,0
908,1628,0,0,0
909,1554,0,0,0
910,1554,0,0,0
911,1480,0,0,0
912,1480,0,0,0
913,1480,0,0,0
914,1426,0,0,0
915,1426,0,0,0
916,1382,0,0,0
917,1382,0,0,0
918,1382,0,0,0
919,1323,0,0,0
920,1323,0,0,0
921,1265,0,0,0
922,1265,0,0,0
923,1265,0,0,0
924,1195,0,0,0
925,1195,0,0,0
926,1142,0,0,0
