,times(seconds),speed,angle,timestamp,state
0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
1,0.02005214494155189,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
2,0.04010428988310378,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
3,0.06015643482465567,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
4,0.08020857976620756,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
5,0.10026072470775944,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
6,0.12031286964931134,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
7,0.14036501459086323,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
8,0.16041715953241512,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
9,0.180469304473967,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
10,0.2005214494155189,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
11,0.22057359435707077,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
12,0.2406257392986227,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
13,0.2606778842401746,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
14,0.28073002918172646,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
15,0.30078217412327835,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
16,0.32083431906483023,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
17,0.3408864640063821,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
18,0.360938608947934,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
19,0.3809907538894859,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
20,0.4010428988310378,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
21,0.42109504377258966,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
22,0.44114718871414155,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
23,0.46119933365569343,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
24,0.4812514785972454,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
25,0.5013036235387972,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
26,0.5213557684803491,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
27,0.541407913421901,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
28,0.5614600583634529,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
29,0.5815122033050047,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
30,0.6015643482465567,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
31,0.6216164931881085,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
32,0.6416686381296605,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
33,0.6617207830712124,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
34,0.6817729280127642,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
35,0.7018250729543162,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
36,0.721877217895868,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
37,0.74192936283742,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
38,0.7619815077789718,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
39,0.7820336527205237,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
40,0.8020857976620756,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
41,0.8221379426036275,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
42,0.8421900875451793,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
43,0.8622422324867313,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
44,0.8822943774282831,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
45,0.902346522369835,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
46,0.9223986673113869,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
47,0.9424508122529388,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
48,0.9625029571944907,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
49,0.9825551021360426,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
50,1.0026072470775944,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
51,1.0226593920191465,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
52,1.0427115369606983,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
53,1.0627636819022501,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
54,1.082815826843802,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
55,1.102867971785354,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
56,1.1229201167269058,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]"
