,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,-0.01604,0.014,-1.00258,-0.00557,0.00808,0.00731
1,-0.01616,0.01351,-1.00231,-0.00678,0.00822,0.00535
2,-0.01447,0.01307,-1.00162,-0.00665,0.00667,0.00601
3,-0.01553,0.01311,-1.0023,-0.00683,0.01167,0.00827
4,-0.01403,0.01421,-1.00226,-0.00543,0.00654,0.00272
5,-0.01509,0.01296,-1.00273,-0.0058,0.00604,0.00765
6,-0.01542,0.01538,-1.00246,-0.00645,0.00695,0.00659
7,-0.01518,0.01349,-1.00015,-0.00892,0.00769,0.00607
8,-0.01509,0.01225,-1.00131,-0.00413,0.01028,0.00787
9,-0.01392,0.01352,-1.00171,-0.00523,0.00758,0.00468
10,-0.01485,0.01178,-1.00185,-0.00581,0.00743,0.00646
11,-0.01527,0.01357,-1.00201,-0.00512,0.00897,0.00719
12,-0.01514,0.01452,-1.0012,-0.00391,0.00807,0.00573
13,-0.01542,0.01453,-1.00188,-0.00553,0.01029,0.00653
14,-0.01484,0.0135,-1.0033,-0.00503,0.00745,0.00559
15,-0.01557,0.01251,-1.00344,-0.00443,0.00871,0.00719
16,-0.01436,0.01314,-1.00096,-0.00383,0.00911,0.00485
17,-0.01456,0.0133,-1.00212,-0.00569,0.00603,0.00565
18,-0.01436,0.0117,-1.00395,-0.00464,0.00645,0.00617
19,-0.01457,0.01233,-1.00424,-0.00418,0.00669,0.00485
20,-0.01622,0.01355,-1.00137,-0.00583,0.00902,0.00927
21,-0.0161,0.01413,-1.00305,-0.00527,0.00799,0.00402
22,-0.01512,0.01256,-1.00411,-0.00553,0.00829,0.00568
23,-0.01503,0.01183,-1.00321,-0.00433,0.00796,0.00807
24,-0.01357,0.01406,-1.00038,-0.00764,0.00993,0.00334
25,-0.01347,0.0125,-1.0004,-0.00694,0.00738,0.00887
26,-0.01422,0.01303,-1.00384,-0.00676,0.00806,0.00741
27,-0.01485,0.01384,-1.00427,-0.00639,0.0077,0.0064
28,-0.01453,0.01212,-1.00044,-0.00773,0.00701,0.00655
29,-0.01562,0.01414,-1.00126,-0.00473,0.00689,0.00619
30,-0.01538,0.01268,-1.00261,-0.00505,0.00741,0.00701
31,-0.01543,0.01256,-0.99987,-0.00703,0.00909,0.00866
32,-0.01678,0.01328,-1.00167,-0.00566,0.00606,0.00638
33,-0.01597,0.01437,-1.00358,-0.00466,0.00884,0.00613
34,-0.01578,0.01433,-1.00298,-0.00488,0.00968,0.00838
35,-0.01544,0.0142,-1.00399,-0.00521,0.00867,0.00577
36,-0.01491,0.01376,-1.00397,-0.00617,0.0065,0.00423
37,-0.01506,0.01277,-1.00309,-0.00681,0.00439,0.00833
38,-0.01411,0.01295,-1.00178,-0.00442,0.00722,0.00806
39,-0.01386,0.01297,-1.00277,-0.00614,0.0063,0.00846
40,-0.01592,0.01324,-1.00154,-0.00701,0.0073,0.00434
41,-0.01509,0.01296,-1.00312,-0.00653,0.00483,0.00595
42,-0.01522,0.01471,-1.00346,-0.0068,0.00956,0.00531
43,-0.01436,0.01328,-1.00254,-0.00635,0.00677,0.00629
44,-0.01464,0.0129,-1.00161,-0.00552,0.0083,0.00657
45,-0.01527,0.0139,-1.00361,-0.00393,0.00605,0.00518
46,-0.01397,0.01317,-1.00443,-0.00557,0.00708,0.00592
47,-0.0146,0.01374,-1.00273,-0.00665,0.00843,0.00829
48,-0.01566,0.01437,-1.00045,-0.00415,0.00803,0.00591
49,-0.01491,0.01319,-1.00259,-0.00808,0.00697,0.00782
50,-0.01508,0.01247,-1.00496,-0.00653,0.00602,0.00624
51,-0.0145,0.01316,-1.003,-0.00498,0.00816,0.00739
52,-0.0148,0.01233,-1.00127,-0.00783,0.00507,0.00967
53,-0.01467,0.01404,-1.00204,-0.00604,0.00718,0.00511
54,-0.01521,0.01419,-1.00302,-0.00642,0.00725,0.00381
55,-0.01456,0.01361,-1.0029,-0.00466,0.00478,0.00437
56,-0.01467,0.0139,-1.00108,-0.00752,0.00794,0.0099
57,-0.01614,0.01312,-1.00075,-0.00354,0.00508,0.00696
58,-0.01662,0.01356,-1.00311,-0.00403,0.00637,0.00707
