,x,y,z
0,0.0,0.0,0.0
1,-0.0,-0.0,0.0
2,-0.0,1e-05,0.0
3,-2e-05,3e-05,0.0
4,-3e-05,3e-05,0.0
5,-4e-05,5e-05,0.0
6,-5e-05,5e-05,0.0
7,-6e-05,5e-05,0.0
8,-5e-05,5e-05,0.0
9,-6e-05,5e-05,0.0
10,-6e-05,4e-05,0.0
11,-7e-05,3e-05,0.0
12,-7e-05,4e-05,0.0
13,-6e-05,5e-05,0.0
14,-6e-05,6e-05,0.0
15,-8e-05,9e-05,0.0
16,-8e-05,0.00011,0.0
17,-8e-05,9e-05,0.0
18,-8e-05,8e-05,0.0
19,-7e-05,6e-05,0.0
20,-8e-05,4e-05,0.0
21,-8e-05,3e-05,0.0
22,-6e-05,9e-05,0.0
23,-7e-05,9e-05,0.0
24,-7e-05,9e-05,0.0
25,-7e-05,9e-05,0.0
26,-7e-05,9e-05,0.0
27,-6e-05,0.0001,0.0
28,-5e-05,8e-05,0.0
29,-4e-05,6e-05,0.0
30,-4e-05,6e-05,0.0
31,-5e-05,7e-05,0.0
32,-6e-05,9e-05,0.0
33,-6e-05,9e-05,0.0
34,-7e-05,9e-05,0.0
35,-8e-05,9e-05,0.0
36,-8e-05,9e-05,0.0
37,-8e-05,9e-05,0.0
38,-8e-05,8e-05,0.0
39,-8e-05,7e-05,0.0
40,-7e-05,6e-05,0.0
41,-6e-05,4e-05,0.0
42,-5e-05,1e-05,0.0
43,-5e-05,-1e-05,0.0
44,-4e-05,1e-05,0.0
45,-5e-05,-1e-05,0.0
46,-6e-05,-2e-05,0.0
47,-6e-05,0.0,0.0
48,-5e-05,2e-05,0.0
49,-5e-05,3e-05,0.0
50,-6e-05,3e-05,0.0
51,-6e-05,4e-05,0.0
52,-7e-05,1e-05,0.0
53,-7e-05,1e-05,0.0
54,-7e-05,-0.0,0.0
55,-7e-05,0.0,0.0
56,-7e-05,2e-05,0.0
57,-6e-05,1e-05,0.0
58,-5e-05,2e-05,0.0
59,-6e-05,1e-05,0.0
60,-6e-05,1e-05,0.0
61,-6e-05,-1e-05,0.0
62,-5e-05,-2e-05,0.0
63,-5e-05,-2e-05,0.0
64,-4e-05,-2e-05,0.0
65,-4e-05,-2e-05,0.0
66,-3e-05,-3e-05,0.0
67,-4e-05,-3e-05,0.0
68,-1e-05,-3e-05,0.0
69,-0.0001,-3e-05,0.0
70,-0.00018,6e-05,0.0
71,-0.00023,0.00017,0.0
72,-0.00024,0.00018,0.0
73,-0.00013,0.00018,0.0
74,0.00053,0.00014,0.0
75,0.0021,0.0,0.0
76,0.00489,-0.00022,0.0
77,0.00936,-0.00057,0.0
78,0.01556,-0.00101,0.0
79,0.02374,-0.00134,0.0
80,0.03293,-0.00153,0.0
81,0.04232,-0.00136,0.0
82,0.05208,-0.00152,0.0
83,0.0618,-0.00202,0.0
84,0.07075,-0.0022,0.0
85,0.07905,-0.00228,0.0
86,0.08627,-0.00271,0.0
87,0.09224,-0.0028,0.0
88,0.09744,-0.00303,0.0
89,0.10727,-0.00336,0.0
90,0.10727,-0.00336,0.0
91,0.11948,-0.00337,0.0
92,0.11948,-0.00337,0.0
93,0.13543,-0.00377,0.0
94,0.14487,-0.00385,0.0
95,0.15442,-0.0039,0.0
96,0.16409,-0.0041,0.0
97,0.16409,-0.0041,0.0
98,0.18148,-0.00453,0.0
99,0.18888,-0.00467,0.0
100,0.19556,-0.00496,0.0
101,0.20142,-0.00513,0.0
102,0.20719,-0.0053,0.0
103,0.21347,-0.00573,0.0
104,0.2203,-0.00603,0.0
105,0.22807,-0.00612,0.0
106,0.23691,-0.00628,0.0
107,0.24636,-0.00657,0.0
108,0.25617,-0.00676,0.0
109,0.26591,-0.00726,0.0
110,0.2754,-0.00756,0.0
111,0.28407,-0.00782,0.0
112,0.29191,-0.00801,0.0
113,0.2992,-0.00814,0.0
114,0.30592,-0.00835,0.0
115,0.31233,-0.00829,0.0
116,0.31907,-0.00831,0.0
117,0.32621,-0.00845,0.0
118,0.33358,-0.00847,0.0
119,0.342,-0.00857,0.0
120,0.35118,-0.00883,0.0
121,0.36052,-0.00884,0.0
122,0.37031,-0.00868,0.0
123,0.37982,-0.00883,0.0
124,0.38863,-0.00884,0.0
125,0.39704,-0.00878,0.0
126,0.40477,-0.00893,0.0
127,0.4118,-0.00919,0.0
128,0.42564,-0.00947,0.0
129,0.43262,-0.00975,0.0
130,0.44016,-0.00985,0.0
131,0.44847,-0.00993,0.0
132,0.45737,-0.01,0.0
133,0.46648,-0.00995,0.0
134,0.47594,-0.00988,0.0
135,0.48532,-0.01008,0.0
136,0.49439,-0.00997,0.0
137,0.50311,-0.00994,0.0
138,0.52581,-0.01006,0.0
139,0.52581,-0.01006,0.0
140,0.53997,-0.01053,0.0
141,0.54765,-0.01034,0.0
142,0.55591,-0.01043,0.0
143,0.56459,-0.01032,0.0
144,0.57363,-0.01025,0.0
145,0.58293,-0.0102,0.0
146,0.59223,-0.01008,0.0
147,0.60135,-0.01006,0.0
148,0.61021,-0.01002,0.0
149,0.61848,-0.01011,0.0
150,0.62639,-0.01016,0.0
151,0.63395,-0.01018,0.0
152,0.64105,-0.01037,0.0
153,0.64835,-0.01042,0.0
154,0.65592,-0.01037,0.0
155,0.66359,-0.01068,0.0
156,0.67187,-0.0108,0.0
157,0.6805,-0.01094,0.0
158,0.68933,-0.01088,0.0
159,0.69843,-0.01077,0.0
160,0.70743,-0.01099,0.0
161,0.71611,-0.01105,0.0
162,0.72449,-0.0109,0.0
163,0.73246,-0.0111,0.0
164,0.74002,-0.0112,0.0
165,0.74736,-0.01112,0.0
166,0.75464,-0.01128,0.0
167,0.76198,-0.01155,0.0
168,0.76965,-0.01163,0.0
169,0.7778,-0.0117,0.0
170,0.7862,-0.01173,0.0
