,tof1,tof2,tof3,tof4,speed,angle,timestamp,state,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y,z,yaw,pitch,roll
0,2760.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01604,0.014,-1.00258,-0.00557,0.00808,0.00731,0.0,0.0,0.0,-1.26,-4.74,-1.56
1,2760.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01616,0.01351,-1.00231,-0.00678,0.00822,0.00535,-0.0,-0.0,0.0,-1.26,-4.73,-1.56
2,2758.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01447,0.01307,-1.00162,-0.00665,0.00667,0.00601,-0.0,1e-05,0.0,-1.26,-4.73,-1.56
3,2758.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01553,0.01311,-1.0023,-0.00683,0.01167,0.00827,-2e-05,3e-05,0.0,-1.27,-4.73,-1.56
4,2767.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01403,0.01421,-1.00226,-0.00543,0.00654,0.00272,-3e-05,3e-05,0.0,-1.26,-4.73,-1.56
5,2767.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01509,0.01296,-1.00273,-0.0058,0.00604,0.00765,-4e-05,5e-05,0.0,-1.27,-4.74,-1.56
6,2767.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01542,0.01538,-1.00246,-0.00645,0.00695,0.00659,-5e-05,5e-05,0.0,-1.27,-4.74,-1.56
7,2761.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01518,0.01349,-1.00015,-0.00892,0.00769,0.00607,-6e-05,5e-05,0.0,-1.27,-4.74,-1.56
8,2761.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01509,0.01225,-1.00131,-0.00413,0.01028,0.00787,-5e-05,5e-05,0.0,-1.27,-4.74,-1.56
9,2752.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01392,0.01352,-1.00171,-0.00523,0.00758,0.00468,-6e-05,5e-05,0.0,-1.26,-4.73,-1.56
10,2752.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01485,0.01178,-1.00185,-0.00581,0.00743,0.00646,-6e-05,4e-05,0.0,-1.26,-4.73,-1.56
11,2747.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01527,0.01357,-1.00201,-0.00512,0.00897,0.00719,-7e-05,3e-05,0.0,-1.26,-4.73,-1.56
12,2747.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01514,0.01452,-1.0012,-0.00391,0.00807,0.00573,-7e-05,4e-05,0.0,-1.26,-4.74,-1.56
13,2747.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01542,0.01453,-1.00188,-0.00553,0.01029,0.00653,-6e-05,5e-05,0.0,-1.26,-4.74,-1.56
14,2754.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01484,0.0135,-1.0033,-0.00503,0.00745,0.00559,-6e-05,6e-05,0.0,-1.26,-4.74,-1.56
15,2754.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01557,0.01251,-1.00344,-0.00443,0.00871,0.00719,-8e-05,9e-05,0.0,-1.27,-4.74,-1.55
16,2736.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01436,0.01314,-1.00096,-0.00383,0.00911,0.00485,-8e-05,0.00011,0.0,-1.26,-4.73,-1.55
17,2736.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01456,0.0133,-1.00212,-0.00569,0.00603,0.00565,-8e-05,9e-05,0.0,-1.26,-4.74,-1.55
18,2741.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01436,0.0117,-1.00395,-0.00464,0.00645,0.00617,-8e-05,8e-05,0.0,-1.26,-4.73,-1.55
19,2741.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01457,0.01233,-1.00424,-0.00418,0.00669,0.00485,-7e-05,6e-05,0.0,-1.26,-4.74,-1.55
