,not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\position_(speed 1.5),not_importance\position_(speed 1.5),not_importance\position_(speed 1.5),not_importance\Attitude_(speed 1.5),not_importance\Attitude_(speed 1.5),not_importance\Attitude_(speed 1.5)
,tof1,tof2,tof3,tof4,speed,angle,timestamp,state,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y,z,yaw,pitch,roll
0,3393.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01447,0.01511,-1.00127,-0.00725,0.01041,0.00791,0.0,0.0,0.0,-2.24,-5.88,-0.52
1,3387.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01447,0.01511,-1.00127,-0.00725,0.01041,0.00791,2e-05,-0.0,0.0,-2.24,-5.88,-0.52
2,3387.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01497,0.01508,-1.00279,-0.00594,0.00611,0.00623,3e-05,2e-05,0.0,-2.24,-5.88,-0.52
3,3353.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01563,0.01385,-1.00246,-0.00706,0.00591,0.00654,2e-05,3e-05,0.0,-2.24,-5.88,-0.52
4,3353.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01552,0.01455,-1.00362,-0.00435,0.0081,0.00567,2e-05,2e-05,0.0,-2.24,-5.88,-0.52
5,3353.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01356,0.01764,-1.00327,-0.00685,0.00417,-0.00187,1e-05,3e-05,0.0,-2.24,-5.88,-0.52
6,3353.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.0156,0.00868,-1.0016,-0.00417,0.00941,0.02224,-1e-05,2e-05,0.0,-2.23,-5.88,-0.52
7,3353.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01604,0.01976,-1.00314,-0.00467,0.00482,0.00093,-1e-05,3e-05,0.0,-2.23,-5.88,-0.53
8,3360.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01414,0.01632,-1.00145,-0.00468,0.01158,0.00131,1e-05,3e-05,0.0,-2.24,-5.88,-0.52
